Latitude, Longitude, Altitude
5.5578904, 95.3156590, 17.1
5.5579023, 95.3156660, 17.9
5.5579133, 95.3156740, 18.7
5.5579243, 95.3156810, 19.5
5.5579362, 95.3156810, 19.7
5.5579467, 95.3156890, 19.5
5.5579591, 95.3156970, 19.6
5.5579715, 95.3156970, 19.7
5.5579815, 95.3156970, 19.3
5.5579920, 95.3156890, 18.8
5.5580020, 95.3156970, 18.3
5.5580106, 95.3156970, 17.9
5.5580235, 95.3156970, 17.5
5.5580382, 95.3157120, 17.8
5.5580506, 95.3157040, 18.1
5.5580654, 95.3156970, 17.9
5.5580778, 95.3156970, 17.8
5.5580883, 95.3156970, 16.7
5.5580983, 95.3156970, 16.0
5.5581079, 95.3156970, 16.0
5.5581183, 95.3156970, 15.9
5.5581379, 95.3156970, 15.5
5.5581517, 95.3157040, 15.2
5.5581651, 95.3157120, 16.0
5.5581775, 95.3157200, 16.4
5.5581903, 95.3157270, 17.2
5.5582023, 95.3157350, 16.8
5.5582123, 95.3157420, 16.9
5.5582271, 95.3157580, 17.2
5.5582409, 95.3157580, 18.4
5.5582542, 95.3157580, 18.8
5.5582633, 95.3157650, 19.0
5.5582738, 95.3157730, 18.7
5.5582843, 95.3157810, 18.4
5.5582981, 95.3157810, 18.5
5.5583134, 95.3157810, 18.5
5.5583291, 95.3157810, 18.5
5.5583434, 95.3157730, 17.3
5.5583558, 95.3157810, 16.5
5.5583696, 95.3157810, 16.5
5.5583816, 95.3157810, 17.3
5.5583935, 95.3157810, 17.5
5.5584059, 95.3157810, 17.2
5.5584192, 95.3157810, 16.6
5.5584302, 95.3157730, 16.3
5.5584407, 95.3157810, 15.7
5.5584488, 95.3157810, 15.1
5.5584612, 95.3157810, 14.7
5.5584755, 95.3157810, 15.2
5.5584879, 95.3157810, 15.8
5.5585003, 95.3157810, 16.1
5.5585146, 95.3157810, 16.1
5.5585299, 95.3157730, 15.6
5.5585423, 95.3157730, 14.9
5.5585546, 95.3157650, 14.2
5.5585656, 95.3157650, 13.3
5.5585771, 95.3157650, 12.6
5.5585909, 95.3157650, 11.9
5.5586176, 95.3157730, 11.1
5.5586295, 95.3157730, 10.8
5.5586424, 95.3157810, 10.7
5.5586538, 95.3157880, 10.7
5.5586662, 95.3157960, 11.1
5.5586801, 95.3158040, 11.7
5.5586920, 95.3158040, 12.0
5.5587039, 95.3158110, 12.4
5.5587163, 95.3158110, 12.6
5.5587263, 95.3158190, 13.0
5.5587378, 95.3158190, 12.8
5.5587492, 95.3158190, 13.1
5.5587606, 95.3158190, 13.4
5.5587697, 95.3158260, 14.7
